Material;Permittivity;Loss Tangent;Permeability;Thermal Conductivity (W/mK);Electrical Conductivity;Metal?
FR4 ;4,4;0,02;1;0,26;0;0
RO2808;7,6;0,0015;1;0,6;0;0
RO3003;3;0,0013;1;0,5;0;0
RO3006;6,5;0,002;1;0,72;0;0
RO3010;11,2;0,0023;1;0,95;0;0
RO3035;3,6;0,0018;1;0,5;0;0
RO3203;3,02;0,0016;1;0,5;0;0
RO3206;6,6;0,0027;1;0,63;0;0
RO3210;10,8;0,0027;1;0,81;0;0
RO3730;3;0,0016;1;0,45;0;0
RO4003;3,55;0,0027;1;0,64;0;0
RO4003 LoPro;3,5;0,0027;1;0,64;0;0
RO4350;3,66;0,0037;1;0,62;0;0
RO4350 LoPro;3,55;0,0037;1;0,62;0;0
RO4360;6,6;0,0038;1;0,8;0;0
RO4730;3;0,0033;1;0,52;0;0
RO5870;2,33;0,0012;1;0,22;0;0
RO5880;2,2;0,0009;1;0,2;0;0
RO5880 LZ;1,96;0,0019;1;0,2;0;0
RO6002;2,94;0,0012;1;0,6;0;0
RO6006;6,45;0,0027;1;0,48;0;0
RO6010 LM;10,7;0,0023;1;0,78;0;0
RO6035HTC;3,6;0,0013;1;1,44;0;0
RO6202;2,9;0,0015;1;0,68;0;0
TMM3;3,45;0,002;1;0,7;0;0
TMM4;4,7;0,002;1;0,7;0;0
TMM6;6,23;0,0023;1;0,72;0;0
TMM10;9,8;0,0022;1;0,76;0;0
TMM10i;9,9;0,002;1;0,76;0;0
TMM13i;12,2;0,0019;1;0,76;0;0
ULTRALAM 3850;2,9;0,0024;1;0,2;0;0
XT/duroid 8000;3,34;0,0035;1;0,35;0;0
Theta;4;0,008;1;0,3;0;0
Alumina ATP (1GHz);9,9;0,0001;1;26,9;0;0
Alumina ATP (10GHz);9,8;0,0002;1;26,9;0;0
Air;1;0;1;0,026;0;0
Teflon;2,1;0,0005;1;0,1;0;0
GaAs;12,9;0,0005;1;46;0;0
Quartz;3,8;0,0001;1;1;0;0
Sapphire;11,7;0,0001;1;46;0;0
Polyimide;3;0,001;1;0,2;0;0
Silver;1;0;0,99998;408;61000000;1
Copper;1;0;0,999991;392,9;58000000;1
Nickel;1;0;600;91,73;14500000;1
Gold;1;0;0,99996;297,7;41000000;1
Aluminum;1;0;1,000,021;218;38000000;1
Beryllium;1;0;1;200;2,50E+07;1
Indium;1;0;1;23,86;1,39E+07;1
Kovar;1;0;1;17;2,00E+06;1
pec;1;0;1;17;2,00E+06;1
Iron (Pure);1;0;5000;68;1.03E+07;1
